ticker,nome_empresa,url_ri,status,timestamp,metodo
HAPV3,Hapvida,https://ri.hapvida.com.br,sucesso,2026-08-12 22:14:01,original
HYPE3,Hypera,https://ri.hypera.com.br,sucesso,2026-08-12 22:14:39,original
IGTI11,Iguatemi,https://ri.iguatemi.com.br,sucesso,2026-08-12 22:14:48,original
INTB3,Intelbras,https://ri.intelbras.com.br,sucesso,2026-08-12 22:15:01,original
IRBR3,IRB Brasil,https://ri.irbre.com.br/,sucesso,2026-08-12 23:34:19,manual_final
ISAE4,Isa Energia,https://ri.isacteep.com.br/,sucesso,2026-08-12 23:34:19,manual_final
ITSA4,Itaúsa,https://ri.itausa.com.br,sucesso,2026-08-12 22:46:48,mapa_manual
ITUB3,Itaú Unibanco,https://www.itau.com.br/relacoes-com-investidores/,sucesso,2026-08-12 23:34:19,manual_final
ITUB4,Itaú Unibanco PN,https://www.itau.com.br/relacoes-com-investidores/,sucesso,2026-08-12 23:34:19,manual_final
JHSF3,JHSF,https://ri.jhsf.com.br,sucesso,2026-08-12 22:16:49,original
KLBN11,Klabin,https://ri.klabin.com.br,sucesso,2026-08-12 22:17:27,original
LREN3,Lojas Renner,https://ri.lojasrenner.com.br,sucesso,2026-08-12 22:18:00,original
MBRF3,Marbi,https://ri.mbrf.com,sucesso,2026-08-12 22:54:59,alternativo
MDNE3,Mouvement,https://ri.mdne.com.br,sucesso,2026-08-12 22:17:31,original
MGLU3,Magazine Luiza,https://ri.magazineluiza.com.br,sucesso,2026-08-12 22:18:12,original
MOTV3,Mobly,https://ri.mobly.com.br/,sucesso,2026-08-12 23:34:19,manual_final
MOVI3,Movida,https://ri.movida.com.br,sucesso,2026-08-12 22:18:38,original
MRVE3,MRV,https://ri.mrv.com.br,sucesso,2026-08-12 22:46:49,mapa_manual
MULT3,Multiplan,https://ri.multiplan.com.br,sucesso,2026-08-12 22:19:11,original
NATU3,Natura,https://ri.natura.com.br,sucesso,2026-08-12 22:19:17,original
ORVR3,Orizon,https://ri.orizonvr.com.br/,sucesso,2026-08-12 23:20:22,banco_final
PETR3,Petrobras,https://www.petrobras.com.br/ri,sucesso,2026-08-12 22:56:07,alternativo
PETR4,Petrobras PN,https://www.investidorpetrobras.com.br/,sucesso,2026-08-12 23:20:28,banco_final
POMO4,Marcopolo,https://ri.marcopolo.com.br/,sucesso,2026-08-12 23:34:19,manual_final
PRIO3,Prio,https://ri.prio3.com.br,sucesso,2026-08-12 22:46:52,mapa_manual
PSSA3,Porto Seguro,https://ri.portoseguro.com.br,sucesso,2026-08-12 22:22:32,original
RADL3,Raia Drogasil,https://ri.rd.com.br,sucesso,2026-08-12 22:46:59,mapa_manual
RAIL3,Rumo,https://ri.rumolog.com,sucesso,2026-08-12 22:47:01,mapa_manual
RAPT4,Randon,https://ri.randoncorp.com.br/,sucesso,2026-08-12 23:34:19,manual_final
RDOR3,Rede D'Or,https://ri.rededor.com.br,sucesso,2026-08-12 22:23:52,original
RECV3,Reciva,https://ri.reciva.com.br/,sucesso,2026-08-12 23:34:19,manual_final
RENT3,Localiza,https://ri.localiza.com,sucesso,2026-08-12 22:47:03,mapa_manual
SANB11,Santander Brasil,https://ri.santander.com.br/,sucesso,2026-08-12 23:34:19,manual_final
SAPR11,Sanepar,https://ri.sanepar.com.br,sucesso,2026-08-12 22:47:02,mapa_manual
SAUD3,Sulamérica,https://ri.sulamerica.com.br,sucesso,2026-08-12 22:47:09,mapa_manual
SBSP3,Sabesp,https://ri.sabesp.com.br,sucesso,2026-08-12 22:26:48,original
SIMH3,Simpar,https://ri.simpar.com.br,sucesso,2026-08-12 22:27:06,original
SLCE3,SLC Agrícola,https://ri.slcagricola.com.br,sucesso,2026-08-12 22:47:12,mapa_manual
SMFT3,Smart Fit,https://www.smartfit.com.br/ri,sucesso,2026-08-12 22:58:44,alternativo
SMTO3,São Martinho,https://ri.saomartinho.com.br,sucesso,2026-08-12 22:47:15,mapa_manual
SUZB3,Suzano,https://ri.suzano.com.br,sucesso,2026-08-12 22:47:10,mapa_manual
TAEE11,Taesa,https://ri.taesa.com.br,sucesso,2026-08-12 22:29:15,original
TEND3,Tenda,https://ri.tenda.com,sucesso,2026-08-12 22:47:16,mapa_manual
TIMS3,Tim,https://ri.tim.com.br,sucesso,2026-08-12 22:30:18,original
TOTS3,Totvs,https://ri.totvs.com.br,sucesso,2026-08-12 22:30:21,original
UGPA3,Ultrapar,https://ri.ultra.com.br/,sucesso,2026-08-12 23:34:19,manual_final
USIM5,Usiminas,https://ri.usiminas.com,sucesso,2026-08-12 22:47:19,mapa_manual
VALE3,Vale,https://vale.com/pt/investidores,sucesso,2026-08-12 23:34:19,manual_final
VAMO3,Vamos,https://ri.vamos.com.br/,sucesso,2026-08-12 23:34:19,manual_final
VBBR3,Vibra,https://ri.vibraenergia.com.br/,sucesso,2026-08-12 23:20:53,banco_final
VIVA3,Vivara,https://ri.vivara.com.br,sucesso,2026-08-12 22:33:14,original
VIVT3,Telefônica Brasil,https://ri.telefonica.com.br,sucesso,2026-08-12 22:47:20,mapa_manual
WEGE3,WEG,https://ri.weg.net,sucesso,2026-08-12 22:47:22,mapa_manual
YDUQ3,Yduqs,https://ri.yduqs.com.br/,sucesso,2026-08-12 23:34:19,manual_final
